ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,2014-01-12 14:58:27,-10000,MAHALAPYE BRANCH          BOTSWANA      BW,DEDUCT,0584012395072004,1,P_NzUzMDAzODVfMTM4NzI4MTQ5NC4zNzI2,
Card Campaign,2014-01-12 15:02:21,-10000,MOLEPOLOLE BRANCH 2       GABORONE      BW,DEDUCT,0304012397419132,1,P_NzI2NzA1NjhfMTM4MjQzMzE2OC41Mjk3,
Card Campaign,2014-01-12 15:03:05,-6984,128552 P G TIMBERS MAUN   BOTSWANA      BW,DEDUCT,0084012397854064,0,P_Nzc1MDA3MTFfMTM4MTQ4MjU0MC4zMTc2,
Card Campaign,2014-01-12 15:09:52,-3880,370592 ENGEN LOBATSE      BOTSWANA      BW,DEDUCT,0164012401925347,0,P_NzUzNDA5MjRfMTM4MDg4NDc0OC4yNjA1,
Card Campaign,2014-01-12 15:10:45,-3880,370592 ENGEN LOBATSE      BOTSWANA      BW,DEDUCT,0164012402455416,0,P_NzUzNDA5MjRfMTM4MDg4NDc0OC4yNjA1,
Card Campaign,2014-01-12 15:11:38,-10000,*NYERERE                  GAORONE       BW,DEDUCT,0304012546980282,1,P_NzIxNTE5NzFfMTM4MDM2NDkwOS43NTM5,
Card Campaign,,-4880,,DEDUCT,0004012548828909,0,P_NzI3OTA5MzFfMTM4NjU5MTE4MC4yNzgz,
Card Campaign,2014-01-12 15:13:43,-12220,162502 CHOPPIES           BOTSWANA      BW,DEDUCT,0164012404238247,0,P_Nzc1MDc0MTNfMTM4NTgwOTEwNS4wMjk0,
Card Campaign,2014-01-12 15:21:57,-5000,AIRPORT JUNCTION ATM      GABORONE      BW,DEDUCT,0384012481171684,1,P_Nzc1MDE4NTVfMTM4OTQ1NDM1Ni42NDE2,
Card Campaign,2014-01-12 15:25:40,-30215,Choppies 2 Franc102992    Lobatse       BW,DEDUCT,0084012557215293,0,P_NzIxNDg2MDRfMTM4NjY2ODQ5MC44NDUx,
